"Form name","Role name","View permission","Edit permission","Add permission","Delete permission"
Employee,"Team member","My data","My data","No data","No data"
Employee,Manager,"Reportees + My Data","My data","No data","No data"
Employee,Director,"My data","My data","No data","No data"
Employee,"Team Incharge","Reportees + My Data","My data","No data","No data"
Employee,HR,"All data","All data","No data","No data"
Employee,"External Consultant","My data","My data","No data","No data"
Department,"Team member","My data","No data","No data","No data"
Department,Manager,"My data","No data","No data","No data"
Department,Director,"All data","No data","No data","No data"
Department,"Team Incharge","My data","No data","No data","No data"
Department,HR,"All data","No data","No data","No data"
Department,"External Consultant","My data","No data","No data","No data"
Designation,"Team member","My data","No data","No data","No data"
Designation,Manager,"My data","No data","No data","No data"
Designation,Director,"All data","No data","No data","No data"
Designation,"Team Incharge","My data","No data","No data","No data"
Designation,HR,"All data","No data","No data","No data"
Designation,"External Consultant","My data","No data","No data","No data"
"Exit Details",Director,"All data","No data","No data","No data"
"Exit Details",HR,"All data","No data","No data","No data"
Leave,"Team member","My data","My data","My data","No data"
Leave,Manager,"Reportees + My Data","Reportees + My Data","Reportees + My Data","No data"
Leave,Director,"Reportees + My Data","Reportees + My Data","Reportees + My Data","No data"
Leave,"Team Incharge","Reportees + My Data","My data","Reportees + My Data","No data"
Leave,HR,"All data","Reportees + My Data","All data","No data"
Leave,"External Consultant","Reportees + My Data","My data","Reportees + My Data","No data"
Projects,"Team member","My data","No data","No data","No data"
Projects,Manager,"Reportees + My Data","No data","No data","No data"
Projects,Director,"All data","All data","All data","All data"
Projects,"Team Incharge","Reportees + My Data","No data","No data","No data"
Projects,HR,"All data","All data","All data","All data"
Projects,"External Consultant","Reportees + My Data","No data","No data","No data"
Jobs,"Team member","All data","No data","No data","No data"
Jobs,Manager,"All data","Reportees + My Data","Reportees + My Data","No data"
Jobs,Director,"All data","All data","All data","No data"
Jobs,"Team Incharge","All data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
Jobs,HR,"All data","All data","All data","No data"
Jobs,"External Consultant","All data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
"Self Appraisal","Team member","All data","My data","All data","All data"
"Self Appraisal",Manager,"All data","My data","All data","All data"
"Self Appraisal",Director,"All data","My data","All data","All data"
"Self Appraisal","Team Incharge","All data","My data","All data","All data"
"Self Appraisal",HR,"All data","My data","All data","All data"
"Self Appraisal","External Consultant","All data","My data","All data","All data"
"Performance Appraisal","Team member","All data","All data","All data","All data"
"Performance Appraisal",Manager,"All data","All data","All data","All data"
"Performance Appraisal",Director,"All data","All data","All data","All data"
"Performance Appraisal","Team Incharge","All data","All data","All data","All data"
"Performance Appraisal",HR,"All data","All data","All data","All data"
"Performance Appraisal","External Consultant","All data","All data","All data","All data"
Goals,"Team member","All data","All data","All data","All data"
Goals,Manager,"All data","All data","All data","All data"
Goals,Director,"All data","All data","All data","All data"
Goals,"Team Incharge","All data","All data","All data","All data"
Goals,HR,"All data","All data","All data","All data"
Goals,"External Consultant","All data","No data","No data","No data"
Task,"Team member","My data","My data","My data","My data"
Task,Manager,"Reportees + My Data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
Task,Director,"Reportees + My Data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
Task,"Team Incharge","Reportees + My Data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
Task,HR,"Reportees + My Data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
Task,"External Consultant","Reportees + My Data","Reportees + My Data","Reportees + My Data","Reportees + My Data"
"Multi-rater Review","Team member","All data","My data","My data","No data"
"Multi-rater Review",Manager,"All data","My data","My data","No data"
"Multi-rater Review",Director,"All data","My data","My data","No data"
"Multi-rater Review","Team Incharge","All data","My data","My data","No data"
"Multi-rater Review",HR,"All data","My data","My data","No data"
"Multi-rater Review","External Consultant","All data","My data","My data","No data"
